id,intrebare,a,b,c,d,Raspuns corect
1,Confidenţialitatea în psihoterapie reprezintă:,Încrederea acordată pacientului,Încrederea acordată terapeutului,Protejarea identităţii pacientului,0,C
2,Prescripțiile paradoxale sunt utilizate de către:,Școala de la Palo Alto,Psihanaliză,Terapia cognitivă,0,A
3,Abordarea psihoterapeutică ce interpretează simptomele ca fiind cauzate / menținute de scheme și automatisme cognitive neadaptative este:,Psihoterapia comportamentală,Psihoterapia cognitivă,Terapia psihodinamică,0,B
4,Persoanele care sunt convinse că în cazul în care ar fi părăsite de partener nu vor mai putea funcționa singure au dezvoltat:,Schema de dependență,Schema subjugării,0,0,A
5,O amplă cazuistică asupra studiului actelor ratate este realizată de S. Freud în:,„Nevroza la copil”,„Psihopatologia vieții cotidiene”,„Cuvântul de spirit și raportul său cu inconștientul”,0,B
6,"Tehnica aversivă, aplicabilă în cazul pacienților alcoolici, a fost utilizată sistematic pentru prima dată de:",D. Burns (1989),E.J. Bourne (1995),N.V. Kantorovich (1930),0,C
7,Terapiile comportamentale își au originea în:,Psihoterapiile bazate pe” insight”/iluminare,Teoriile învățării,0,0,B
8,Conceptele de „câmp” și „organizare” au fost introduse în științele umaniste de către:,Psihanaliză,Gestaltism,Psihoterapia cognitiv-comportamentală,0,B
9,"Din perspectivă conceptuală, psihoterapia sistemică își are rădăcinile în:",Principiile ciberneticii ale lui G. Bateson,Teoria atașamentului a lui J. Bowlby,Teoria psihanalitică a lui S. Freud,0,A
10,Catharsis-ul în psihoterapie reprezintă:,O descărcare predominant emoţională,O atitudine reflexivă,O situaţie ludică,0,A
11,Teoria „dublei constrângeri” a fost fundamentată de:,G. Bateson,C. Rogers,J. Laplanche,0,A
12,"În concepția lui S. Freud, actele ratate iau naștere prin:",Contra-acțiunea a două intenții diferite,Alăturarea a doi termeni diferiți,0,0,A
13,Semnificația reală a viselor în concepția lui S. Freud se identifică analizând:,Conținutul manifest al visului,Conținutul latent al visului,0,0,B
14,Nevroza de transfer se instalează atunci când:,Transferul a devenit atât de intens încât poate bloca procesul terapeutic,Apar trăiri afective și pattern-uri psiho-comportamentale pe care terapeutul le are față de pacient,0,0,A
15,"În terapia implozivă, confruntarea cu stimulul anxiogen are loc:",Pe plan imaginar,În realitate,0,0,A
16,Termenul „psihoterapeutic” îi aparține lui:,G. Corey (2001),D.H. Tuke (1872),J.L. Moreno (1931),0,B
17,Autorealizarea jungiană este conceptul fundamental care constituie premisa:,Conceptului de autoactualizare (elaborat de A. Maslow),Conceptului de inconștient (descris de S.Freud),Conceptului de reflexie activă (elaborat de C.Rogers),0,A
18,În Terapia Gestalt fenomenologia reprezintă:,Căutarea sensului prin ceea ce este evident și/sau descoperit mai degrabă prin interpretarea observatorului,O formă specială de contact ce se preocupă de intervalul relației,Exploatarea unei experiențe în contextul situației,0,A
19,Schimbarea în psihoterapie reprezintă:,Conştientizarea emoţiilor,Legătura dintre emoţii şi cogniţii,Finalul tratamentului,0,C
20,Deflecția (în calitate de rezistență) constă în:,Evitarea contactului sau contact rigid și neautentic,Absența graniței între sine și mediu,"Atribuirea propriilor gânduri, sentimente, dorințe altor persoane",0,A
21,Tehnica „scaunului gol” este specifică:,Psihanalizei,Terapiei Gestalt,Psihoterapiei jungiene,0,B
22,Umbra ca arhetip reprezintă:,"Self-ul conformist, artificial, public",O realitate psihică proiectată pentru a realiza realitatea externă,"Aspectele întunecate ale Self-ului, instincte animale reprimate",0,C
23,Psihoterapia experiențială a unificării a fost elaborată de:,I. Mitrofan (2004),G. Corey (2001),A. Bandura (1974),0,A
24,"În modelul ABC cognitiv, elaborat de Ellis (1962) și dezvoltat ulterior de Beck (1976), B reprezintă:",Evenimentul activator,Asimilarea unor noi cogniții eficiente,Restructurarea cognițiilor iraționale,Cognițiile persoanei,D
25,Obiectivul terapiei scurte după Școala de la Palo Alto este:,De a schimba persoanele,De a schimba relațiile dintre persoane,De a schimba mediul în care trăiește persoana,0,B
26,"Principiul „Nu există eșec, există feedback” care poate guverna o relație terapeutică a fost promovat de:",Psihanaliză,Hipnoterapie,Psihoterapia de scurtă durată,0,C
27,Securizarea pacientului reprezintă în psihoterapie:,Etapa prealabilă de lucru,Investigație,O metodă de comunicare,0,A
28,Credința irațională care constă în extragerea unei concluzii în lipsa dovezilor care să o susțină poartă denumirea de:,Gândire dihotomică,Suprageneralizare,Inferență arbitrară,Personalizare,C
29,Consecințele pozitive ale autodezvăluirii terapeutului pot include:,Scăderea nivelului de sprijin acordat clientului,Oferirea de noi insight-uri și perspective,Detașarea clientului de problema sa,0,B
30,"În cadrul psihoterapiei integrative, contratransferul:",Se utilizează ca o resursă terapeutică,Trebuie eliminat,0,0,A
